User Details
Email,FirstName LastName,DateOfBirth,Gender
john.doe@example.com,John Doe,5/15/1985 12:00:00 AM,Male
User Physique Details
Height,RecentClothesWeight
180,1
User Scan Details
BodyMetricTypeId,Value,CreatedDate
WaterMass,55.1,8/24/2025 8:15:30 AM
IntraCellularWaterMass,31.9,8/24/2025 8:15:30 AM
BasalMetabolicRatekJ,9451,8/24/2025 8:15:30 AM
MuscleScore,0,8/24/2025 8:15:30 AM
LegMuscleScore,94,8/24/2025 8:15:30 AM
BoditraxScore,814,8/24/2025 8:15:30 AM
BodyWeight,89.5,9/21/2025 8:15:30 AM
MuscleMass,67.8,9/21/2025 8:15:30 AM
FatMass,16.7,9/21/2025 8:15:30 AM
VisceralFatRating,9,9/21/2025 8:15:30 AM
MetabolicAge,35,9/21/2025 8:15:30 AM
BodyMassIndex,27.6,9/21/2025 8:15:30 AM
Age,40,9/21/2025 8:15:30 AM
Height,180,9/21/2025 8:15:30 AM
BoneMass,3.7,9/21/2025 8:15:30 AM
WaterMass,55.5,9/21/2025 8:15:30 AM
IntraCellularWaterMass,32.1,9/21/2025 8:15:30 AM
BasalMetabolicRatekJ,9481,9/21/2025 8:15:30 AM
MuscleScore,0,9/21/2025 8:15:30 AM
LegMuscleScore,95,9/21/2025 8:15:30 AM
BoditraxScore,825,9/21/2025 8:15:30 AM
BodyWeight,88.4,10/19/2025 8:15:30 AM
MuscleMass,68.1,10/19/2025 8:15:30 AM
FatMass,15.3,10/19/2025 8:15:30 AM
VisceralFatRating,9,10/19/2025 8:15:30 AM
MetabolicAge,34,10/19/2025 8:15:30 AM
BodyMassIndex,27.3,10/19/2025 8:15:30 AM
Age,40,10/19/2025 8:15:30 AM
Height,180,10/19/2025 8:15:30 AM
BoneMass,3.8,10/19/2025 8:15:30 AM
WaterMass,55.9,10/19/2025 8:15:30 AM
IntraCellularWaterMass,32.3,10/19/2025 8:15:30 AM
BasalMetabolicRatekJ,9510,10/19/2025 8:15:30 AM
MuscleScore,0,10/19/2025 8:15:30 AM
LegMuscleScore,96,10/19/2025 8:15:30 AM
BoditraxScore,836,10/19/2025 8:15:30 AM
BodyWeight,87.2,11/16/2025 8:15:30 AM
MuscleMass,68.4,11/16/2025 8:15:30 AM
FatMass,13.8,11/16/2025 8:15:30 AM
VisceralFatRating,8,11/16/2025 8:15:30 AM
MetabolicAge,33,11/16/2025 8:15:30 AM
BodyMassIndex,26.9,11/16/2025 8:15:30 AM
Age,40,11/16/2025 8:15:30 AM
Height,180,11/16/2025 8:15:30 AM
BoneMass,3.8,11/16/2025 8:15:30 AM
WaterMass,56.3,11/16/2025 8:15:30 AM
IntraCellularWaterMass,32.6,11/16/2025 8:15:30 AM
BasalMetabolicRatekJ,9540,11/16/2025 8:15:30 AM
MuscleScore,1,11/16/2025 8:15:30 AM
LegMuscleScore,97,11/16/2025 8:15:30 AM
BoditraxScore,848,11/16/2025 8:15:30 AM
BodyWeight,86.1,12/14/2025 8:15:30 AM
MuscleMass,68.7,12/14/2025 8:15:30 AM
FatMass,12.4,12/14/2025 8:15:30 AM
VisceralFatRating,8,12/14/2025 8:15:30 AM
MetabolicAge,32,12/14/2025 8:15:30 AM
BodyMassIndex,26.6,12/14/2025 8:15:30 AM
Age,40,12/14/2025 8:15:30 AM
Height,180,12/14/2025 8:15:30 AM
BoneMass,3.8,12/14/2025 8:15:30 AM
WaterMass,56.6,12/14/2025 8:15:30 AM
IntraCellularWaterMass,32.8,12/14/2025 8:15:30 AM
BasalMetabolicRatekJ,9570,12/14/2025 8:15:30 AM
MuscleScore,1,12/14/2025 8:15:30 AM
LegMuscleScore,97,12/14/2025 8:15:30 AM
BoditraxScore,859,12/14/2025 8:15:30 AM
BodyWeight,85.0,1/11/2026 8:15:30 AM
MuscleMass,69.0,1/11/2026 8:15:30 AM
FatMass,11.0,1/11/2026 8:15:30 AM
VisceralFatRating,7,1/11/2026 8:15:30 AM
MetabolicAge,30,1/11/2026 8:15:30 AM
BodyMassIndex,26.2,1/11/2026 8:15:30 AM
Age,40,1/11/2026 8:15:30 AM
Height,180,1/11/2026 8:15:30 AM
BoneMass,3.8,1/11/2026 8:15:30 AM
WaterMass,57.0,1/11/2026 8:15:30 AM
IntraCellularWaterMass,33.0,1/11/2026 8:15:30 AM
BasalMetabolicRatekJ,9600,1/11/2026 8:15:30 AM
MuscleScore,1,1/11/2026 8:15:30 AM
LegMuscleScore,98,1/11/2026 8:15:30 AM
BoditraxScore,870,1/11/2026 8:15:30 AM
